id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
15721,11348,Mariapfarr,13.745,47.15222,1151.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
15901,11377,Oberwölz,14.28669,47.20206,842.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,182,2007-08-01 00:00:00+00:00,,nein
15912,11363,Stolzalpe,14.18822,47.12303,1291.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,97,2007-07-24 00:00:00+00:00,,nein
15920,11280,Murau,14.17694,47.11111,816.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
16015,11220,Neumarkt,14.42472,47.06972,869.0,1993-07-29 11:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,64,1993-08-01 00:00:00+00:00,,nein
16101,11365,Zeltweg,14.74689,47.19983,677.6,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,115,1992-06-01 00:00:00+00:00,,nein
16308,11221,Köflach,15.087222,47.070277,465.0,2004-10-28 13:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
16400,11240,Graz Thalerhof Flughafen,15.44,46.98056,340.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
16411,11242,St. Radegund,15.48978,47.18211,726.3,2002-07-31 14:20:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,94,1986-04-01 00:00:00+00:00,,nein
16412,11290,Graz Universität,15.44892,47.07767,366.7,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,30,1988-06-01 00:00:00+00:00,2022-08-31 23:59:59+00:00,nein
16413,11238,Graz Straßgang,15.41028,47.04611,356.5,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
16414,11291,Graz Universität/Heinrichstraße,15.448056,47.08,366.0,2022-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,False,False,,30,2022-09-01 00:00:00+00:00,,nein
16421,11241,Schöckl,15.46639,47.19861,1443.0,1993-02-16 13:30:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,86,1993-01-01 00:00:00+00:00,,nein
16501,11247,Gleisdorf,15.70806,47.11556,377.3,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,200,2008-01-01 00:00:00+00:00,,nein
16511,11292,Laßnitzhöhe,15.59222,47.07361,530.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,53,1990-02-01 00:00:00+00:00,,nein
16521,11243,Weiz,15.634444,47.218334,465.7,2006-01-01 00:00:00+00:00,2013-05-28 00:00:00+00:00,Steiermark,True,True,,201,2007-12-01 00:00:00+00:00,2013-05-31 23:59:59+00:00,nein
16601,11246,Fürstenfeld,16.08083,47.03083,271.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,154,2007-07-01 00:00:00+00:00,,nein
16702,11198,Güssing,16.32186,47.0625,215.3,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,183,2008-07-01 00:00:00+00:00,,nein
16711,11392,Wörterberg,16.09678,47.22619,403.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,202,2008-01-01 00:00:00+00:00,,nein
16800,11192,Kleinzicken,16.326667,47.2075,263.0,1994-04-07 11:20:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,49,1993-05-01 00:00:00+00:00,,nein
16905,8989071,Gaschurn,10.02861,46.98583,976.3,2006-01-01 00:00:00+00:00,2021-10-07 11:30:00+00:00,Vorarlberg,True,True,,220,2007-08-01 00:00:00+00:00,2020-12-31 23:59:59+00:00,nein
16906,11108,Gaschurn,10.031667,46.980278,985.0,2020-09-01 11:10:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,220,2021-01-01 00:00:00+00:00,,nein
17002,11312,Galtür,10.18556,46.96806,1587.0,1997-02-13 09:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,28,1996-12-01 00:00:00+00:00,,nein
17005,11310,Ischgl-Idalpe,10.31722,46.9825,2327.0,1993-02-17 14:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
17102,11113,Nauders,10.49694,46.89111,1330.2,2004-04-27 17:30:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,121,2004-08-01 00:00:00+00:00,,nein
17301,11127,Obergurgl,11.02444,46.86694,1941.0,1999-01-04 11:20:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,66,1999-01-01 00:00:00+00:00,,nein
17315,11316,Pitztaler Gletscher,10.87914,46.92706,2863.9,1993-12-09 12:20:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,184,1994-01-01 00:00:00+00:00,,nein
17320,11318,Brunnenkogel,10.86167,46.91278,3437.0,2002-01-28 08:50:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,nein
17701,11300,St. Jakob im Defereggental,12.35389,46.91694,1383.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,185,2007-09-01 00:00:00+00:00,,nein
17901,11204,Lienz,12.80639,46.82555,661.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,55,1985-12-01 00:00:00+00:00,,nein
18001,11206,Döllach,12.9025,46.95806,1071.0,2004-05-25 17:20:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,137,2004-06-01 00:00:00+00:00,,nein
18111,11260,Mallnitz,13.16667,46.99194,1197.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,149,2002-08-01 00:00:00+00:00,,nein
18121,11261,Obervellach,13.22333,46.92889,809.0,1996-02-28 13:00:00+00:00,2015-02-03 00:00:00+00:00,Kärnten,True,True,,69,1986-12-01 00:00:00+00:00,2014-12-31 23:59:59+00:00,nein
18122,11262,Obervellach,13.19444,46.93528,688.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,69,2015-01-01 00:00:00+00:00,,nein
18210,11215,Millstatt,13.57278,46.80806,721.0,2005-04-27 12:40:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,62,1982-06-24 00:00:00+00:00,,nein
18225,11272,Spittal an der Drau,13.48725,46.7905,541.7,1997-09-01 04:30:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,150,2004-11-01 00:00:00+00:00,,nein
18231,11273,Gmünd,13.53417,46.90278,738.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
18402,11222,Flattnitz,14.03611,46.94083,1437.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,186,2007-07-01 00:00:00+00:00,,nein
18502,11225,Weitensfeld,14.19083,46.84917,704.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,103,2008-01-01 00:00:00+00:00,,nein
18601,11228,Friesach,14.40583,46.95861,640.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,187,2008-01-01 00:00:00+00:00,,nein
18622,11237,St. Veit an der Glan,14.38556,46.73917,462.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,95,2008-01-01 00:00:00+00:00,,nein
18705,11229,St. Andrä im Lavanttal,14.82806,46.76417,403.0,1993-11-16 15:50:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,90,1993-03-11 00:00:00+00:00,,nein
18805,11214,Preitenegg,14.920278,46.938333,1059.0,1993-08-05 07:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,71,1994-01-01 00:00:00+00:00,,nein
18905,11285,Deutschlandsberg,15.22889,46.82167,354.0,1994-10-24 13:30:00+00:00,2001-04-30 23:50:00+00:00,Steiermark,True,False,,116,1995-08-01 00:00:00+00:00,2001-04-30 23:59:59+00:00,nein
18906,11285,Deutschlandsberg,15.22694,46.82167,354.0,2001-05-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,116,2001-05-01 00:00:00+00:00,,nein
19021,11296,Leibnitz-Wagna,15.55289,46.76739,267.9,2003-11-03 12:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,54,2003-11-01 00:00:00+00:00,,nein
19204,11244,Bad Gleichenberg,15.90361,46.87222,269.0,2003-04-08 16:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,8,2003-04-17 00:00:00+00:00,,nein
19205,11298,Feldbach,15.87972,46.94889,323.0,1999-08-16 09:30:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,nein
19505,11201,Sillian,12.42358,46.74644,1081.4,1997-03-04 13:20:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,130,1999-10-01 00:00:00+00:00,,nein
19700,11270,Dellach,13.08286,46.74189,628.2,1995-11-15 12:20:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,False,,19,1983-05-05 00:00:00+00:00,,nein
19711,11086,Kornat,12.888889,46.685001,990.0,2017-05-23 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
19720,11255,Kötschach-Mauthen,12.99833,46.67638,705.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
19821,11263,Weißensee-Gatschach,13.28583,46.71861,949.0,1992-12-15 12:50:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,102,1982-11-01 00:00:00+00:00,,nein
19911,11259,Hermagor,13.49222,46.60972,561.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20002,11218,Bad Bleiberg,13.68444,46.62528,908.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,6,2007-10-01 00:00:00+00:00,,nein
20011,11226,Fresach,13.68528,46.71528,683.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,203,2008-10-01 00:00:00+00:00,,nein
20021,11265,Villacher Alpe,13.67278,46.60361,2117.0,1997-08-31 16:50:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20101,11216,Kanzelhöhe,13.90194,46.67722,1520.0,2001-11-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,122,2002-01-01 00:00:00+00:00,,nein
20105,11275,Arriach,13.85244,46.72769,890.2,2005-01-19 13:40:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20123,11213,Villach Stadt,13.87389,46.61806,493.0,1994-06-15 11:50:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,100,1993-12-01 00:00:00+00:00,,nein
20202,11235,Ferlach,14.31417,46.53111,459.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,120,2008-01-01 00:00:00+00:00,,nein
20209,8989076,Klagenfurt/HTL1-Lastenstraße,14.316667,46.61944,441.0,2021-04-21 15:20:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20211,11231,Klagenfurt Flughafen,14.33333,46.65001,447.0,1992-11-26 11:30:00+00:00,1996-08-31 23:50:00+00:00,Kärnten,True,True,,48,1991-04-01 00:00:00+00:00,1996-08-31 23:59:59+00:00,nein
20212,11331,Klagenfurt Flughafen,14.31833,46.64833,450.0,1996-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,48,1996-09-01 00:00:00+00:00,,nein
20220,11278,Pörtschach,14.16528,46.63083,450.0,1996-12-10 11:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,198,1982-10-01 00:00:00+00:00,,nein
20270,11227,Feldkirchen,14.09694,46.72194,546.4,1995-05-04 11:50:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20408,11224,Völkermarkt,14.618611,46.661388,473.1,2008-07-23 00:10:00+00:00,2015-10-14 00:00:00+00:00,Kärnten,True,True,,188,2008-07-23 00:00:00+00:00,2015-10-13 23:59:59+00:00,nein
20411,11257,Völkermarkt Goldbrunnhof,14.639167,46.670834,466.0,2015-10-20 00:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,188,2015-10-20 00:00:00+00:00,,nein
20412,11232,Feistritz ob Bleiburg,14.765,46.561389,523.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,91,2007-09-01 00:00:00+00:00,,nein
20901,11248,Bad Radkersburg,15.97861,46.68667,208.0,1992-08-29 00:10:00+00:00,2000-06-08 00:00:00+00:00,Steiermark,True,True,,11,1992-08-01 00:00:00+00:00,2000-12-31 23:59:59+00:00,nein
20902,11248,Bad Radkersburg,15.97944,46.68583,209.8,2001-02-22 10:10:00+00:00,2016-04-07 00:00:00+00:00,Steiermark,True,True,,11,2001-02-01 00:00:00+00:00,2016-03-31 23:59:59+00:00,nein
20903,11264,Bad Radkersburg,15.99333,46.69222,207.0,2016-04-07 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,11,2016-04-01 00:00:00+00:00,,nein
21101,11217,Loibl Tunnel,14.24917,46.44389,1096.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,206,2008-01-01 00:00:00+00:00,,nein
21300,11234,Bad Eisenkappel,14.59333,46.49056,623.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,21,1983-01-01 00:00:00+00:00,,nein
